title,author,genre,image,lat,lon
鴨肉珍,西子灣海風,美食介紹,orders\西子灣-美食-鴨肉珍.jpg,22.62514459757006, 120.28106893639466
木葉粗食,西子灣海風,美食介紹,orders\西子灣-美食-木葉粗食.jpg,22.620806059535134, 120.27187069488755
明洞美食,西子灣海風,美食介紹,orders\西子灣-美食-明洞美食.PNG,22.62597029823093, 120.270152784569
夕照觀景坡堤,西子灣海風,景點遊玩,orders\西子灣-景點-夕照觀景坡堤.jpg,22.622839242799245, 120.26221191578499
小自然秘境沙灘,西子灣海風,景點遊玩,orders\西子灣-景點-小自然秘境沙灘.jpg,22.634164617197136, 120.25953821393426
打狗英國領事館文化園區,西子灣海風,景點遊玩,orders\西子灣-景點-打狗英國領事館文化園區.jpg,22.619070440374035, 120.26624938034384
柴山阿朗壹,西子灣海風,景點遊玩,orders\西子灣-景點-柴山阿朗壹.jpg,22.638409228130794, 120.2563631231908
不一樣赤肉羹,旗津海港,美食介紹,orders\旗津-美食-不一樣赤肉羹.jpg,22.615078434315375, 120.26798115604225
老街小巷咖啡簡餐,旗津海港,美食介紹,orders\旗津-美食-老街小巷咖啡簡餐.jpg,22.612885364541352, 120.2688893734566
椪嫂蕃薯椪,旗津海港,美食介紹,orders\旗津-美食-椪嫂蕃薯椪.jpg,22.613732879254336, 120.26788112372331
漢德那斯番菜料理,旗津海港,美食介紹,orders\旗津-美食-漢德那斯番菜料理.jpg,22.612372981703096, 120.26682836975394
高雄燈塔,旗津海港,景點遊玩,orders\旗津-景點-高雄燈塔.jpg,22.615617541108787, 120.26521638694899
旗後砲台,旗津海港,景點遊玩,orders\旗津-景點-旗後砲台.jpg,22.613198323201384, 120.26398514330272
旗津老街,旗津海港,景點遊玩,orders\旗津-景點-旗津老街.jpg,22.61350854354006, 120.26866668139508
旗津輪渡站,旗津海港,景點遊玩,orders\旗津-景點-旗津輪渡站.jpg,22.61432062796575, 120.26960008980252
Le Bon Marché,駁二時尚,美食介紹,orders\駁二-美食-Le Bon Marché.jpg,22.621098845182225, 120.27468991208251
紅瀰,駁二時尚,美食介紹,orders\駁二-美食-紅瀰.jpg,22.624522153376166, 120.27692800838001
掌門精釀啤酒餐廳,駁二時尚,美食介紹,orders\駁二-美食-掌門精釀啤酒餐廳.png,22.62088142813583, 120.2773046347376
新咖哩,駁二時尚,美食介紹,orders\駁二-美食-新咖哩.jpg,22.619440854623445, 120.28361255255928
金馬賓館當代美術館,駁二時尚,景點遊玩,orders\駁二-景點- 金馬賓館當代美術館.jpg,22.627959753627557, 120.27939180784678
in89駁二電影院,駁二時尚,景點遊玩,orders\駁二-景點-in89駁二電影院.jpg,22.620940645398885, 120.2816543083799
哈瑪星鐵道文化園區,駁二時尚,景點遊玩,orders\駁二-景點-哈瑪星鐵道文化園區.jpg,22.62187933729653, 120.27672742557482
駁二特區,駁二時尚,景點遊玩,orders\image 14.png,22.620158542936835, 120.28216169620565
高雄流行音樂中心,駁二時尚,景點遊玩,orders\駁二-景點-高雄流行音樂中心.jpg,22.61903909160739, 120.28852381940592
高雄港大港橋,駁二時尚,景點遊玩,orders\駁二-景點-高雄港大港橋.jpg,22.618014138345796, 120.28398264091825
棧貳庫KW2,駁二時尚,景點遊玩,orders\駁二-景點-棧貳庫KW2.jpg,22.618814441051306, 120.27827739250306
Kyomo Pasta,鹽埕風格,美食介紹,orders\鹽埕-美食-Kyomo Pasta.jpg,22.62147814810143, 120.2863244041441
金溫州餛飩大王,鹽埕風格,美食介紹,orders\鹽埕-美食-金溫州餛飩大王.jpg,22.62467934348756, 120.2838924390673
柒壹喫堂,鹽埕風格,美食介紹,orders\鹽埕-美食-柒壹喫堂.jpg,22.627267351850094, 120.2840803250417
港園牛肉麵,鹽埕風格,美食介紹,orders\鹽埕-美食-港園牛肉麵.jpg,22.621434572271458, 120.28775288045553
文武聖殿,鹽埕風格,景點遊玩,orders\鹽埕-景點-文武聖殿.jpg,22.629683041971436, 120.28193465017507
高雄市立歷史博物館,鹽埕風格,景點遊玩,orders\鹽埕-景點-高雄市立歷史博物館.jpg,22.62714813992878, 120.28677793721603
高雄市電影館,鹽埕風格,景點遊玩,orders\鹽埕-景點-高雄市電影館.jpg,22.622593016296367, 120.28936597715953
愛河親水徒步區,鹽埕風格,景點遊玩,orders\鹽埕-景點-愛河親水徒步區.jpg,22.626598874533894, 120.28815663906725
壽山動物園,鹽埕風格,景點遊玩,orders\鹽埕-景點-壽山動物園.jpg,22.635679620383986, 120.27583119065214
